sample,geneRLF,nanostring.date,cartridgeID,lane.number,fov.count,fov.counted,binding.density,linPC,linFlag,perFOV,imagingFlag,lod,llod,spcFlag,gd,pergd,averageHK,sn,bdFlag,normFlag,QCFlag
20181129_OTTA3-002-SYD-20H_TVAN21879_12,OTTA2018_C6830,2018-11-29,OTTA3-002-SYD-20H,12,555,537,1.03,1,Passed,96.75675675675676,Passed,41.25868521995629,4.241314780043705,Passed,55,100,415146.4893010218,10062.038746213388,Passed,Passed,Passed
20181129_OTTA3-002-SYD-20H_TVAN25509_08,OTTA2018_C6830,2018-11-29,OTTA3-002-SYD-20H,8,555,552,2,1,Passed,99.45945945945947,Passed,31.390185014530218,-2.1401850145302177,Passed,55,100,782560.1884004568,24930.091620620176,Passed,Passed,Passed
20181129_OTTA3-002-SYD-20H_TWMH00380_02,OTTA2018_C6830,2018-11-29,OTTA3-002-SYD-20H,2,555,546,0.56,1,Passed,98.37837837837839,Passed,10.220219666769935,2.5297803332300655,Passed,55,100,347480.3179866973,33999.300339551046,Passed,Passed,Passed
20181129_OTTA3-003-SYD-20H_DOVE42299_04,OTTA2018_C6830,2018-11-29,OTTA3-003-SYD-20H,4,555,541,2,1,Passed,97.47747747747748,Passed,26.122448747131436,-1.8724487471314362,Passed,55,100,1187524.098208573,45459.90728908895,Passed,Passed,Passed
20181129_OTTA3-003-SYD-20H_DOVE42319_10,OTTA2018_C6830,2018-11-29,OTTA3-003-SYD-20H,10,555,541,0.84,1,Passed,97.47747747747748,Passed,15.510377506140689,3.2396224938593106,Passed,55,100,557401.7519643484,35937.3427077238,Passed,Passed,Passed
20181129_OTTA3-003-SYD-20H_DOVE43260_11,OTTA2018_C6830,2018-11-29,OTTA3-003-SYD-20H,11,555,543,0.6,1,Passed,97.83783783783784,Passed,14.10354072854935,-0.8535407285493495,Passed,55,100,415199.5502240281,29439.383926020284,Passed,Passed,Passed
20181129_OTTA3-003-SYD-20H_TVAN20098_06,OTTA2018_C6830,2018-11-29,OTTA3-003-SYD-20H,6,555,551,0.65,1,Passed,99.27927927927928,Passed,13.699128422062051,-0.9491284220620511,Passed,55,100,437583.9692344654,31942.467852899972,Passed,Passed,Passed
20181129_OTTA3-003-SYD-20H_TVAN20309_08,OTTA2018_C6830,2018-11-29,OTTA3-003-SYD-20H,8,555,541,0.54,1,Passed,97.47747747747748,Passed,18.083005244258363,-3.083005244258363,Passed,55,100,225753.79870482362,12484.307539340232,Passed,Passed,Passed
20181129_OTTA3-003-SYD-20H_TVAN20682_03,OTTA2018_C6830,2018-11-29,OTTA3-003-SYD-20H,3,555,542,0.85,1,Passed,97.65765765765767,Passed,24.500081913253112,-2.750081913253114,Passed,55,100,534181.2987187285,21803.245418121136,Passed,Passed,Passed
20181129_OTTA3-003-SYD-20H_TVAN21956_07,OTTA2018_C6830,2018-11-29,OTTA3-003-SYD-20H,7,555,532,1.44,1,Passed,95.85585585585585,Passed,26.95237973711325,-2.202379737113251,Passed,55,100,698049.7015035049,25899.371718271505,Passed,Passed,Passed
