sample,FBN1,TCF7L1,CCL5,FN1,ADAMDEC1,CTSK,COL3A1,CD74,TIMP3,POSTN,CXCL9,SALL2,NUAK1,SLAMF7,CYTIP,TAP1,FCER1G,COL5A1,ABCC3,THBS2,COL1A2,CD3e,OLFML3,ADAM12,CRISPLD2,INHBA,GFPT2,SPARC,FAP,PDGFRB,LUM,CD3D,VCAN,EPB41L3,DCN,LRRC15,SLAMF8,CD27,COL5A2,LOX,COL11A1,CD2,PDZK1IP1,TMEM45A,CD38,HMGA2,CD8A,AXL,CXCL11,CD68,FGF1,CSF1R,TAGLN,TLR4,ZNF423
20180724_OTTA2-108-SYD-20H_TTRI20138-N1_03,-1.1688516275462484,-3.002251150541749,-2.6762198632810343,2.945695526341873,-6.385443739399932,-0.19731419260757743,4.611592161663625,2.45217235674758,1.1566337038522199,-1.4539420810250585,-4.023179062342825,-3.9754670761300233,-2.7070295130981763,-4.2267172818863346,-3.3969318605878795,-3.487587524229231,-2.8070977291974666,0.7147783644794562,-2.6970607603849257,0.5942948605697607,3.6301863124705607,-5.189594255614102,-0.7922864425940097,-4.329332923609986,-0.27594532581810016,-1.828283838611684,-3.8761153065423493,3.350096975601236,-1.803836462892896,-1.6001021386934071,2.1757218247027192,-5.493689538570219,-0.9308222768666004,-2.1850577190122067,1.7414849583191252,-3.2823446844863495,-6.598404915688377,-5.126455579942303,0.21505894094811984,-1.2388435559325512,-0.22660484362381528,-6.088025510636835,-3.2206193871304234,-2.7871833945224744,-6.108966512805988,-5.8240012807808945,-4.064020805648296,-2.1412188901409834,-5.07755303590167,-3.1258762584305364,-4.2471613740389875,-5.08828694216931,1.9464382319068942,-4.206469890476567,-5.057210208710873
20180724_OTTA2-108-SYD-20H_TWMH00559-N1_06,-0.627617964071725,-3.462734434709951,-1.347032372484549,4.5458598788711315,-3.7267232606993757,0.3539179761507798,5.804034308212962,2.6720198262807564,1.488867337468315,-1.3194512677278303,-2.4701627360770675,-4.3374701883468925,-1.9215521943511988,-2.991361662746294,-3.1552028518778927,-3.2732216971741623,-2.367609029587025,2.164489796577306,-1.9258032226006443,1.9079807656380738,5.090927718238912,-4.302543420876312,0.15004389476434854,-2.411453581435694,-0.19394420407923052,-0.5344886214492686,-3.5597318744433624,4.697381743331466,-1.0024853810528125,-1.791644048489911,2.6829975828412223,-4.641482208645078,-0.7607635162734874,-1.7180481668625873,2.2643426099491393,-2.6962230275340593,-5.237024021988711,-3.990388773390957,1.3306545565044092,-0.2940269749612274,1.6053875107891136,-4.253074186089768,-4.478002826754164,-2.620870906475361,-4.544909652852905,-5.338861395638902,-2.7246281676186577,-1.9924799587201942,-3.2837442493225,-2.2528015604489413,-3.6470773580176976,-3.9221700051125845,2.1213740895638526,-2.9615791982136526,-4.911556821381095
20180724_OTTA2-109-SYD-20H_TAOC01267-N1_12,-6.30362331931263,-6.615701982760092,-5.170209047075053,-2.520039755822677,-7.814932539215626,-5.293196640946417,-1.1649545473373766,0.7716187207228629,-3.7144237432974063,-7.696571679767955,-6.634717965209646,-5.318998065595973,-6.678265920622165,-6.4639849616034,-6.058822063946189,-3.779615874754575,-4.048542431700235,-6.337279890658722,-3.7863540691000597,-6.782643198737675,-1.2184728557829603,-7.818331189812192,-5.3213408849053145,-9.2518073396857,-6.827800708576065,-7.501638419604266,-8.598269664820569,-0.7614197779411838,-7.931509960710039,-5.932521674526207,-5.517836444612009,-7.927954510798452,-8.094389368951875,-5.443383134404412,-3.944253342047288,-8.881601853046302,-8.77562304065864,-8.909817350354514,-4.645373880761031,-6.034404513777151,-6.326993320252763,-8.254478702374872,-2.717122149468324,-6.573162497814035,-6.418126743264969,-8.761283489292314,-7.650467033928071,-5.746115202511624,-4.793798436576493,-2.9165501379651433,-7.159701590446894,-6.2079531776076475,-3.0856465910308444,-5.611099749089654,-7.310718523340975
20180724_OTTA2-109-SYD-20H_TAOC02259-N1_03,-0.6187045896521082,-4.603952916116635,-2.84278933457356,3.651595174217525,-7.248811041984142,0.4647262625572681,4.439063444477753,2.1956274176133714,2.3794711327357674,-0.36536045080321267,-4.052653411730594,-3.564711787208939,-3.032059272505759,-4.385049277188741,-4.93566183138276,-5.278825578926974,-3.053871545339706,0.6007458347896141,-2.3609331815900796,0.2806027042066128,3.9551509522962673,-5.699465749847687,-1.7314855016219215,-3.384034627885489,-1.6583723179644072,-2.4644579257219554,-5.455544562966834,3.4462477254457937,-1.980453450004818,-1.9997170915957398,2.521652214983676,-6.490774634322733,-1.745370156736,-2.7997496411302407,1.6809139256455037,-2.306927103900091,-7.316431755369623,-5.2282311535069494,0.14132157937661338,-1.6354969241587463,0.9036135660889952,-5.705640328349503,-3.934712636740882,-3.5001375352002246,-6.997595844162761,-5.276547337465466,-4.694429163504552,-2.8006617449192888,-5.981476846780984,-2.8921799983541066,-3.8544084276937314,-5.640367666875386,0.9668079317532764,-4.241042652085982,-5.863287506378574
20180724_OTTA2-109-SYD-20H_TAOC10037-N1_01,-0.19969208210330125,-4.004678986780515,-1.2680289440995307,4.494571010652028,-3.150836622574934,0.5409086021836762,4.732265565197627,3.56420266269088,2.279209084947673,-0.3877960450267166,0.11166375715291332,-3.803875998632199,-2.935285662804145,-1.1515700441996417,-1.9423828398157719,-3.070205771284912,-1.6732919077800927,1.1139793078277647,-2.4673429088783236,0.7674407866213924,4.369709751917312,-3.8782729577225066,-0.8401828665228162,-2.592368453058807,-0.9395317729889574,-0.22062784230617538,-4.175861844111258,3.477272883318994,-1.4820039592064997,-2.1061623239691447,2.199368090154701,-4.645912691158848,-1.0892650881016572,-1.4987684232896559,1.8205947346232083,-1.6355534544110073,-5.324845990288864,-3.1474469323068384,0.15187759860757977,-1.0205020736933403,0.6451852554549573,-5.121656123009688,-4.256366462119885,-3.5126329748778065,-4.351081806863047,-6.79591471740827,-3.1391281895839658,-2.6001694164438405,-4.090973078438039,-1.9716840714684034,-3.9485745045930116,-5.096728206343844,1.8418598236402186,-3.432160126509022,-4.230410670566056
20180724_OTTA2-109-SYD-20H_TAOV20227-N1_02,0.6486665996542889,-3.847977284020981,-3.1692119997120174,4.377169501751914,-4.793766465605387,1.6418788838591665,5.757851786527576,2.5704926307532947,2.0858035141284677,1.1274363478775802,-3.535542495521637,-2.583285755065585,-1.9948057159219474,-4.1783121491812745,-4.1854931025757205,-3.073004956745266,-2.363046575782051,2.0635811171351373,-1.5908089384465645,1.1665544007055375,4.892696077642239,-5.552537986077339,-0.4767746123205039,-1.5714206478331452,-0.36131732465362854,-1.410639648049111,-4.489643383409995,4.1589698941437,0.0028472592825146137,-0.2711866884914387,3.926003481059085,-5.939950470856468,-0.25154182775159173,-1.9816364600603578,3.059867084358153,-0.5595666361432405,-6.684079912403885,-5.78013305227517,1.2838302726076374,-0.12374059710827234,1.4171245398530408,-5.541434593839994,-3.9526388028739015,-2.5747098609660584,-5.73037554027054,-5.155154650736527,-5.16114635405637,-2.103237948927285,-3.0975856402296005,-2.7090087174860864,-3.3165288965654804,-5.2819360567677744,1.5573909179421825,-3.7037148048008874,-4.191770631378817
20180724_OTTA2-109-SYD-20H_TAOV20864-N1_09,-3.3327440789308125,-5.672377576346439,-1.1257808132757945,0.8450053289471129,-4.030875582218504,-2.1959368342534296,0.7998469520149887,4.043694410216105,-0.4004082625037033,-2.7094285927647253,0.08035302345073747,-5.489481882712481,-5.063043368725538,-0.3298528583517948,-2.61957698379232,-1.3604451708391059,-1.9020735627819425,-2.2409311684560036,-2.6454917985678557,-2.192017758247763,0.8390012572341385,-3.5923384261774354,-3.1857594583011912,-5.8547821520055034,-3.7894287427452658,-4.316575653288824,-6.585379500934623,-0.13799231750195617,-4.483846278291185,-3.514069897573203,0.15526761311106407,-3.4183247001659653,-3.9885445774922794,-3.0356734919665005,-0.6470883785506256,-3.9601939695461796,-4.589026156306745,-2.032433485697279,-3.046224718969882,-4.407242319596499,-2.593614135691104,-3.4493604373295845,-3.1759040930985045,-5.334382489823504,-2.9063624794970613,-5.527747376780945,-2.7729160577254657,-3.4559875343662814,-2.5911331705941345,-1.9385022419928353,-6.570014763413649,-5.365499485400846,-1.62898287768515,-3.590254501623362,-4.4712539597843035
20180724_OTTA2-109-SYD-20H_TMAY01700-N1_10,-4.507219317338407,-6.528904985963424,-1.5456281597723582,0.25447770506267564,-3.6897654601267664,-3.3899967578421935,0.7927197529881469,4.216498024418621,-1.917370639516243,-4.0747509246362,-0.10560913807978833,-5.267799953116978,-5.559700285241577,-2.2247415526481182,-3.9035345741444614,-1.8140735646238904,-2.4738098100583192,-2.6182841352447044,-3.0593577977558355,-2.8306430174773265,0.4964733804154049,-4.423172143254704,-2.532035660565881,-6.324878888723139,-4.632367006736965,-4.825522826187896,-7.027953500249676,0.2005576183646427,-5.674792883040071,-4.775577896791962,-1.2750958026788308,-4.32461907659303,-5.241653344006901,-3.62794557990075,-2.282899481919408,-5.780772718627421,-5.518926690046526,-4.368177650087951,-3.4109287742966594,-4.8176386158781614,-2.955517942970439,-4.121637697441539,-2.89593495208025,-6.382685501027739,-3.3424609381642254,-7.435794509007463,-3.606534504462161,-4.062663394649407,-1.245701356570442,-2.763370572850385,-7.334635416855842,-4.925431186554797,-1.3622586100256786,-4.097718215156345,-6.535421083153944
20180724_OTTA2-109-SYD-20H_TMAY01753-N1_08,-4.12244445525544,-5.413549703618217,-0.8786803545149593,0.3208601743481989,-3.915497658998733,-3.1339177311386957,0.46400338259799634,4.510858694098957,-1.9895427378833177,-4.166434398532461,-0.9635037551628218,-4.340045212772699,-5.284655298704724,-0.09376263913983873,-2.5379007416611943,-1.779845593186697,-1.9107694489152776,-2.630316763247831,-2.2852343884015283,-2.8319460507083623,0.5745152778665785,-3.869019367166742,-2.2925040599528628,-6.443175114709694,-5.810565816886411,-5.6722345796463305,-6.979361980072913,0.06618080265609527,-5.3878254798404726,-4.168546923502525,-1.7038546390591063,-4.08333164512922,-4.7723060984517485,-2.9530245336853937,-1.2209460156664846,-5.334250860548746,-4.951058502100247,-1.294832952432282,-3.4544538108747056,-5.677054260750797,-3.9944457719848083,-3.7170353767493527,-3.6646313299552973,-5.533404771266838,-2.444708856076711,-5.757995333919897,-2.6098435847274946,-2.9946918819492225,-2.170003048754178,-1.7683209249314844,-6.1704820396945985,-4.3622683083005445,-0.23484491526306617,-3.1456994034169647,-4.589925700104071
20180724_OTTA2-109-SYD-20H_TPOL00396-N1_06,-3.8001702968177136,-6.720292160643574,0.2770098777165777,0.8873528355318936,-2.698726183321421,-2.442934839737984,0.4316389617437584,3.926758399604248,-3.66502936382644,-4.301640381822521,0.8696962618687079,-5.545216938397608,-5.952137608134928,-0.7996829769806508,-2.239386931783513,-1.0560296908034337,-1.462335421122849,-3.4049911083452136,-2.977655963164785,-2.8330376968956426,-0.3506674667777405,-2.6472065952597736,-3.4133211047157093,-6.578807462926586,-3.941993096326041,-5.382944554652239,-6.811803925604956,-0.6698616914220212,-4.132103464256474,-3.630486798276849,-0.5281906201176308,-2.7044053638034713,-3.545656717489655,-2.7427617026295774,-1.0652887664684556,-7.756332966886879,-4.555429322451623,-2.3763503336025966,-3.664467100595829,-4.659002454776298,-6.545112529502154,-2.5809508867013253,-4.448586916332248,-5.704225881642827,-2.8233354116179727,-7.240276200750036,-2.0601804898919944,-2.9927246782298607,-0.8358139711342814,-1.636855299922094,-7.808611646219004,-5.273181814304097,-0.22935156665048606,-3.400912089169666,-6.939971409423029
